"","wavenumber","intensity","sample_name","group"
"6336098",712.4,0.001,5189,5189
"6336306",713.4,0.001,5189,5189
"6336514",714.5,0.001,5189,5189
"6336722",715.5,0.001,5189,5189
"6336930",716.5,0.001,5189,5189
"6337138",717.5,0.002,5189,5189
"6337346",718.6,0.003,5189,5189
"6337554",719.6,0.004,5189,5189
"6337762",720.6,0.005,5189,5189
"6337970",721.6,0.004,5189,5189
"6338178",722.7,0.004,5189,5189
"6338386",723.7,0.005,5189,5189
"6338594",724.7,0.005,5189,5189
"6338802",725.7,0.005,5189,5189
"6339010",726.8,0.004,5189,5189
"6339218",727.8,0.003,5189,5189
"6339426",728.8,0.003,5189,5189
"6339634",729.8,0.002,5189,5189
"6339842",730.9,0.002,5189,5189
"6340050",731.9,0.002,5189,5189
"6340258",732.9,0.001,5189,5189
"6340466",734,0.001,5189,5189
"6340674",735,0.001,5189,5189
"6340882",736,0,5189,5189
"6341090",737,0,5189,5189
"6341298",738.1,0.001,5189,5189
"6341506",739.1,0.001,5189,5189
"6341714",740.1,0.001,5189,5189
"6341922",741.1,0,5189,5189
"6342130",742.2,0,5189,5189
"6342338",743.2,0,5189,5189
"6342546",744.2,0.001,5189,5189
"6342754",745.2,0.001,5189,5189
"6342962",746.3,0.001,5189,5189
"6343170",747.3,0.001,5189,5189
"6343378",748.3,0.001,5189,5189
"6343586",749.3,0.001,5189,5189
"6343794",750.4,0.001,5189,5189
"6344002",751.4,0.001,5189,5189
"6344210",752.4,0.001,5189,5189
"6344418",753.4,0.001,5189,5189
"6344626",754.5,0.001,5189,5189
"6344834",755.5,0.001,5189,5189
"6345042",756.5,0.001,5189,5189
"6345250",757.5,0.001,5189,5189
"6345458",758.6,0.001,5189,5189
"6345666",759.6,0.001,5189,5189
"6345874",760.6,0.001,5189,5189
"6346082",761.7,0.001,5189,5189
"6346290",762.7,0.001,5189,5189
"6346498",763.7,0.001,5189,5189
"6346706",764.7,0.001,5189,5189
"6346914",765.8,0.001,5189,5189
"6347122",766.8,0.001,5189,5189
"6347330",767.8,0.001,5189,5189
"6347538",768.8,0.001,5189,5189
"6347746",769.9,0.001,5189,5189
"6347954",770.9,0.001,5189,5189
"6348162",771.9,0.001,5189,5189
"6348370",772.9,0.001,5189,5189
"6348578",774,0.001,5189,5189
"6348786",775,0.001,5189,5189
"6348994",776,0.001,5189,5189
"6349202",777,0.002,5189,5189
"6349410",778.1,0.002,5189,5189
"6349618",779.1,0.001,5189,5189
"6349826",780.1,0.002,5189,5189
"6350034",781.1,0.002,5189,5189
"6350242",782.2,0.002,5189,5189
"6350450",783.2,0.001,5189,5189
